Element 1 ID	Element 2 ID	STRING escore	STRING tscore	STRING dscore
O15519	P14902	0	167	0
O15519	P14902	0	167	0
O14763	P14902	0	189	0
O14763	P14902	0	189	0
O14763	P31944	53	186	0
O14763	P31944	53	186	0
P05112	P10747	0	912	0
P05112	P10747	0	912	0
P11274	P15391	0	287	900
P11274	P15391	0	287	900
P11274	P20273	0	194	900
P11274	P20273	0	194	900
Q16568	P15391	0	795	0
Q16568	P15391	0	795	0
271	P28907	800	163	0
GO:0007165	P28907	NAS		
P11274	P15391	0	287	900
P11274	P15391	0	287	900
P11166	P13232	0	295	0
P11166	P13232	0	295	0
P26718	P13232	0	530	0
P26718	P13232	0	530	0
P11836	P15391	0	605	0
P11836	P15391	0	605	0
P20273	P15391	294	933	0
P20273	P15391	294	933	0
Q02535	O75626	0	480	0
Q02535	O75626	0	480	0
P60568	O14763	0	412	0
P60568	O14763	0	412	0
P01730	Q5QGZ9	0	0	0
P01730	Q5QGZ9	0	0	0
Q16568	P20138	0	492	0
Q16568	P20138	0	492	0
Q16568	Q5QGZ9	0	250	0
Q16568	Q5QGZ9	0	250	0
P50591	P01375	0	710	0
P50591	P01375	0	710	0
Q5QGZ9	P12694	87	579	0
Q5QGZ9	P12694	87	579	0
P15391	Q16568	0	795	0
P15391	Q16568	0	795	0
Q16653	B7ZLG1	0	712	0
Q16653	B7ZLG1	0	712	0
P22301	P21730	0	476	0
P22301	P21730	0	476	0
Q02750	P15056	994	397	900
Q02750	P15056	994	397	900
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q02750	P15056			
Q15399	P22301	157	746	0
Q15399	P22301	157	746	0
Q14116	P22301	0	915	900
Q14116	P22301	0	915	900
Q16568	P40933	0	565	0
Q16568	P40933	0	565	0
Q16568	P13232	0	483	0
Q16568	P13232	0	483	0
Q16568	P06239	0	212	0
Q16568	P06239	0	212	0
P15391	P40933	0	669	0
P15391	P40933	0	669	0
P15391	P13232	0	709	0
P15391	P13232	0	709	0
P14151	Q9GZX6	0	416	0
P14151	Q9GZX6	0	416	0
P60568	P11279	0	829	0
P60568	P11279	0	829	0
P20138	Q9NSY1	0	424	0
P20138	Q9NSY1	0	424	0
P40933	P11279	0	608	0
P40933	P11279	0	608	0
P49585	P35555	156	0	0
P49585	P35555	156	0	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P20273	P15391.D	294	933	0
P20273	P15391.D	294	933	0
P10747	P43403	50	779	900
P10747	P43403	50	779	900
P43403	P06239	472	270	900
P43403	P06239	472	270	900
P43403	P06239			
P43403	P06239			
